date,high,low,Month,Year,City,DATEE
17,35°,29°,August,2020,Karachi,17-Aug-20
18,35°,30°,August,2020,Karachi,18-Aug-20
19,35°,29°,August,2020,Karachi,19-Aug-20
20,35°,29°,August,2020,Karachi,20-Aug-20
21,38°,28°,August,2020,Karachi,21-Aug-20
22,36°,27°,August,2020,Karachi,22-Aug-20
23,36°,26°,August,2020,Karachi,23-Aug-20
24,33°,25°,August,2020,Karachi,24-Aug-20
25,29°,25°,August,2020,Karachi,25-Aug-20
26,31°,27°,August,2020,Karachi,26-Aug-20
27,30°,26°,August,2020,Karachi,27-Aug-20
28,31°,24°,August,2020,Karachi,28-Aug-20
29,33°,28°,August,2020,Karachi,29-Aug-20
30,34°,30°,August,2020,Karachi,30-Aug-20
31,32°,29°,August,2020,Karachi,31-Aug-20
1,32°,28°,September,2020,Karachi,01-Sep-20
2,34°,28°,September,2020,Karachi,02-Sep-20
3,36°,28°,September,2020,Karachi,03-Sep-20
4,35°,28°,September,2020,Karachi,04-Sep-20
5,35°,28°,September,2020,Karachi,05-Sep-20
6,34°,27°,September,2020,Karachi,06-Sep-20
7,34°,28°,September,2020,Karachi,07-Sep-20
8,34°,27°,September,2020,Karachi,08-Sep-20
9,35°,27°,September,2020,Karachi,09-Sep-20
10,35°,27°,September,2020,Karachi,10-Sep-20
11,33°,27°,September,2020,Karachi,11-Sep-20
12,35°,28°,September,2020,Karachi,12-Sep-20
13,38°,28°,September,2020,Karachi,13-Sep-20
14,37°,29°,September,2020,Karachi,14-Sep-20
15,37°,30°,September,2020,Karachi,15-Sep-20
16,36°,28°,September,2020,Karachi,16-Sep-20
17,36°,28°,September,2020,Karachi,17-Sep-20
18,33°,28°,September,2020,Karachi,18-Sep-20
19,34°,27°,September,2020,Karachi,19-Sep-20
20,34°,27°,September,2020,Karachi,20-Sep-20
21,37°,28°,September,2020,Karachi,21-Sep-20
22,37°,28°,September,2020,Karachi,22-Sep-20
23,38°,29°,September,2020,Karachi,23-Sep-20
24,36°,27°,September,2020,Karachi,24-Sep-20
25,34°,27°,September,2020,Karachi,25-Sep-20
26,34°,28°,September,2020,Karachi,26-Sep-20
27,35°,29°,September,2020,Karachi,27-Sep-20
28,34°,26°,September,2020,Karachi,28-Sep-20
29,34°,26°,September,2020,Karachi,29-Sep-20
30,35°,27°,September,2020,Karachi,30-Sep-20
1,35°,26°,October,2020,Karachi,01-Oct-20
2,35°,26°,October,2020,Karachi,02-Oct-20
3,35°,27°,October,2020,Karachi,03-Oct-20
4,35°,26°,October,2020,Karachi,04-Oct-20
5,34°,27°,October,2020,Karachi,05-Oct-20
6,34°,26°,October,2020,Karachi,06-Oct-20
7,34°,26°,October,2020,Karachi,07-Oct-20
8,35°,28°,October,2020,Karachi,08-Oct-20
9,35°,25°,October,2020,Karachi,09-Oct-20
10,39°,26°,October,2020,Karachi,10-Oct-20
11,39°,26°,October,2020,Karachi,11-Oct-20
12,40°,27°,October,2020,Karachi,12-Oct-20
13,38°,24°,October,2020,Karachi,13-Oct-20
14,39°,22°,October,2020,Karachi,14-Oct-20
15,38°,20°,October,2020,Karachi,15-Oct-20
16,38°,25°,October,2020,Karachi,16-Oct-20
17,32°,27°,October,2020,Karachi,17-Oct-20
18,38°,28°,October,2020,Karachi,18-Oct-20
19,37°,26°,October,2020,Karachi,19-Oct-20
20,37°,25°,October,2020,Karachi,20-Oct-20
21,37°,19°,October,2020,Karachi,21-Oct-20
22,38°,19°,October,2020,Karachi,22-Oct-20
23,37°,18°,October,2020,Karachi,23-Oct-20
24,36°,19°,October,2020,Karachi,24-Oct-20
25,36°,19°,October,2020,Karachi,25-Oct-20
26,36°,17°,October,2020,Karachi,26-Oct-20
27,35°,20°,October,2020,Karachi,27-Oct-20
28,34°,18°,October,2020,Karachi,28-Oct-20
29,33°,21°,October,2020,Karachi,29-Oct-20
30,33°,19°,October,2020,Karachi,30-Oct-20
31,34°,18°,October,2020,Karachi,31-Oct-20
1,34°,18°,November,2020,Karachi,01-Nov-20
2,34°,16°,November,2020,Karachi,02-Nov-20
3,34°,16°,November,2020,Karachi,03-Nov-20
