date,high,low,Months,Year,City,datee
5,27°,9°,November,2022,Islamabad,05-Nov-22
6,26°,9°,November,2022,Islamabad,06-Nov-22
7,26°,9°,November,2022,Islamabad,07-Nov-22
8,26°,9°,November,2022,Islamabad,08-Nov-22
9,26°,9°,November,2022,Islamabad,09-Nov-22
10,26°,8°,November,2022,Islamabad,10-Nov-22
11,26°,8°,November,2022,Islamabad,11-Nov-22
12,25°,8°,November,2022,Islamabad,12-Nov-22
13,25°,8°,November,2022,Islamabad,13-Nov-22
14,25°,8°,November,2022,Islamabad,14-Nov-22
15,25°,8°,November,2022,Islamabad,15-Nov-22
16,25°,8°,November,2022,Islamabad,16-Nov-22
17,25°,7°,November,2022,Islamabad,17-Nov-22
18,24°,7°,November,2022,Islamabad,18-Nov-22
19,24°,7°,November,2022,Islamabad,19-Nov-22
20,24°,7°,November,2022,Islamabad,20-Nov-22
21,24°,7°,November,2022,Islamabad,21-Nov-22
22,24°,7°,November,2022,Islamabad,22-Nov-22
23,23°,7°,November,2022,Islamabad,23-Nov-22
24,23°,7°,November,2022,Islamabad,24-Nov-22
25,23°,7°,November,2022,Islamabad,25-Nov-22
26,23°,6°,November,2022,Islamabad,26-Nov-22
27,23°,6°,November,2022,Islamabad,27-Nov-22
28,22°,6°,November,2022,Islamabad,28-Nov-22
29,22°,6°,November,2022,Islamabad,29-Nov-22
30,22°,6°,November,2022,Islamabad,30-Nov-22
1,22°,6°,December,2022,Islamabad,01-Dec-22
2,22°,6°,December,2022,Islamabad,02-Dec-22
3,21°,6°,December,2022,Islamabad,03-Dec-22
4,21°,6°,December,2022,Islamabad,04-Dec-22
5,21°,6°,December,2022,Islamabad,05-Dec-22
6,21°,6°,December,2022,Islamabad,06-Dec-22
7,21°,6°,December,2022,Islamabad,07-Dec-22
8,21°,5°,December,2022,Islamabad,08-Dec-22
9,20°,5°,December,2022,Islamabad,09-Dec-22
10,20°,5°,December,2022,Islamabad,10-Dec-22
11,20°,5°,December,2022,Islamabad,11-Dec-22
12,20°,5°,December,2022,Islamabad,12-Dec-22
13,20°,5°,December,2022,Islamabad,13-Dec-22
14,20°,5°,December,2022,Islamabad,14-Dec-22
15,19°,5°,December,2022,Islamabad,15-Dec-22
16,19°,5°,December,2022,Islamabad,16-Dec-22
17,19°,5°,December,2022,Islamabad,17-Dec-22
18,19°,5°,December,2022,Islamabad,18-Dec-22
19,19°,5°,December,2022,Islamabad,19-Dec-22
20,19°,5°,December,2022,Islamabad,20-Dec-22
21,19°,5°,December,2022,Islamabad,21-Dec-22
22,19°,5°,December,2022,Islamabad,22-Dec-22
23,19°,5°,December,2022,Islamabad,23-Dec-22
24,18°,5°,December,2022,Islamabad,24-Dec-22
25,18°,5°,December,2022,Islamabad,25-Dec-22
26,18°,5°,December,2022,Islamabad,26-Dec-22
27,18°,5°,December,2022,Islamabad,27-Dec-22
28,18°,4°,December,2022,Islamabad,28-Dec-22
29,18°,4°,December,2022,Islamabad,29-Dec-22
30,18°,4°,December,2022,Islamabad,30-Dec-22
31,18°,4°,December,2022,Islamabad,31-Dec-22
