date,high,low,Months,Year,City,datee
29,35°,22°,July,2020,Islamabad,29-Jul-20
30,33°,25°,July,2020,Islamabad,30-Jul-20
31,34°,27°,July,2020,Islamabad,31-Jul-20
1,34°,23°,August,2020,Islamabad,01-Aug-20
2,37°,27°,August,2020,Islamabad,02-Aug-20
3,37°,28°,August,2020,Islamabad,03-Aug-20
4,36°,26°,August,2020,Islamabad,04-Aug-20
5,38°,28°,August,2020,Islamabad,05-Aug-20
6,39°,28°,August,2020,Islamabad,06-Aug-20
7,37°,30°,August,2020,Islamabad,07-Aug-20
8,37°,31°,August,2020,Islamabad,08-Aug-20
9,32°,26°,August,2020,Islamabad,09-Aug-20
10,32°,27°,August,2020,Islamabad,10-Aug-20
11,36°,32°,August,2020,Islamabad,11-Aug-20
12,37°,26°,August,2020,Islamabad,12-Aug-20
13,34°,29°,August,2020,Islamabad,13-Aug-20
14,33°,24°,August,2020,Islamabad,14-Aug-20
15,35°,26°,August,2020,Islamabad,15-Aug-20
16,37°,28°,August,2020,Islamabad,16-Aug-20
17,36°,28°,August,2020,Islamabad,17-Aug-20
18,35°,24°,August,2020,Islamabad,18-Aug-20
19,32°,23°,August,2020,Islamabad,19-Aug-20
20,28°,23°,August,2020,Islamabad,20-Aug-20
21,31°,24°,August,2020,Islamabad,21-Aug-20
22,35°,25°,August,2020,Islamabad,22-Aug-20
23,35°,26°,August,2020,Islamabad,23-Aug-20
24,35°,27°,August,2020,Islamabad,24-Aug-20
25,31°,27°,August,2020,Islamabad,25-Aug-20
26,29°,24°,August,2020,Islamabad,26-Aug-20
27,26°,23°,August,2020,Islamabad,27-Aug-20
28,31°,23°,August,2020,Islamabad,28-Aug-20
29,32°,23°,August,2020,Islamabad,29-Aug-20
30,35°,22°,August,2020,Islamabad,30-Aug-20
31,29°,22°,August,2020,Islamabad,31-Aug-20
1,25°,23°,September,2020,Islamabad,01-Sep-20
2,30°,23°,September,2020,Islamabad,02-Sep-20
3,31°,24°,September,2020,Islamabad,03-Sep-20
4,31°,23°,September,2020,Islamabad,04-Sep-20
5,32°,22°,September,2020,Islamabad,05-Sep-20
6,34°,24°,September,2020,Islamabad,06-Sep-20
7,33°,22°,September,2020,Islamabad,07-Sep-20
8,34°,23°,September,2020,Islamabad,08-Sep-20
9,35°,23°,September,2020,Islamabad,09-Sep-20
10,35°,23°,September,2020,Islamabad,10-Sep-20
11,33°,24°,September,2020,Islamabad,11-Sep-20
12,35°,26°,September,2020,Islamabad,12-Sep-20
13,35°,25°,September,2020,Islamabad,13-Sep-20
14,36°,24°,September,2020,Islamabad,14-Sep-20
15,35°,25°,September,2020,Islamabad,15-Sep-20
16,36°,23°,September,2020,Islamabad,16-Sep-20
17,36°,23°,September,2020,Islamabad,17-Sep-20
18,37°,23°,September,2020,Islamabad,18-Sep-20
19,37°,19°,September,2020,Islamabad,19-Sep-20
20,37°,20°,September,2020,Islamabad,20-Sep-20
21,37°,20°,September,2020,Islamabad,21-Sep-20
22,36°,24°,September,2020,Islamabad,22-Sep-20
23,36°,23°,September,2020,Islamabad,23-Sep-20
24,35°,23°,September,2020,Islamabad,24-Sep-20
25,36°,23°,September,2020,Islamabad,25-Sep-20
26,33°,22°,September,2020,Islamabad,26-Sep-20
27,34°,16°,September,2020,Islamabad,27-Sep-20
28,33°,20°,September,2020,Islamabad,28-Sep-20
29,33°,21°,September,2020,Islamabad,29-Sep-20
30,34°,21°,September,2020,Islamabad,30-Sep-20
1,32°,20°,October ,2020,Islamabad,01-Oct-20
2,34°,18°,October ,2020,Islamabad,02-Oct-20
3,34°,18°,October ,2020,Islamabad,03-Oct-20
4,34°,18°,October ,2020,Islamabad,04-Oct-20
5,35°,17°,October ,2020,Islamabad,05-Oct-20
6,35°,17°,October ,2020,Islamabad,06-Oct-20
7,35°,17°,October ,2020,Islamabad,07-Oct-20
8,35°,20°,October ,2020,Islamabad,08-Oct-20
9,35°,19°,October ,2020,Islamabad,09-Oct-20
10,34°,18°,October ,2020,Islamabad,10-Oct-20
11,35°,17°,October ,2020,Islamabad,11-Oct-20
12,35°,19°,October ,2020,Islamabad,12-Oct-20
13,32°,14°,October ,2020,Islamabad,13-Oct-20
14,32°,16°,October ,2020,Islamabad,14-Oct-20
15,33°,16°,October ,2020,Islamabad,15-Oct-20
16,33°,15°,October ,2020,Islamabad,16-Oct-20
17,33°,17°,October ,2020,Islamabad,17-Oct-20
18,32°,16°,October ,2020,Islamabad,18-Oct-20
19,32°,15°,October ,2020,Islamabad,19-Oct-20
20,32°,18°,October ,2020,Islamabad,20-Oct-20
21,31°,15°,October ,2020,Islamabad,21-Oct-20
22,30°,16°,October ,2020,Islamabad,22-Oct-20
23,30°,14°,October ,2020,Islamabad,23-Oct-20
24,30°,14°,October ,2020,Islamabad,24-Oct-20
25,26°,15°,October ,2020,Islamabad,25-Oct-20
26,30°,12°,October ,2020,Islamabad,26-Oct-20
27,30°,15°,October ,2020,Islamabad,27-Oct-20
28,30°,11°,October ,2020,Islamabad,28-Oct-20
29,29°,16°,October ,2020,Islamabad,29-Oct-20
30,23°,13°,October ,2020,Islamabad,30-Oct-20
31,30°,11°,October ,2020,Islamabad,31-Oct-20
1,30°,12°,November,2020,Islamabad,01-Nov-20
2,30°,13°,November,2020,Islamabad,02-Nov-20
3,29°,16°,November,2020,Islamabad,03-Nov-20
4,29°,11°,November,2020,Islamabad,04-Nov-20
5,28°,10°,November,2020,Islamabad,05-Nov-20
6,28°,12°,November,2020,Islamabad,06-Nov-20
7,28°,10°,November,2020,Islamabad,07-Nov-20
8,27°,10°,November,2020,Islamabad,08-Nov-20
9,26°,10°,November,2020,Islamabad,09-Nov-20
10,27°,11°,November,2020,Islamabad,10-Nov-20
11,26°,10°,November,2020,Islamabad,11-Nov-20
12,22°,11°,November,2020,Islamabad,12-Nov-20
13,25°,10°,November,2020,Islamabad,13-Nov-20
14,23°,11°,November,2020,Islamabad,14-Nov-20
15,16°,11°,November,2020,Islamabad,15-Nov-20
16,20°,10°,November,2020,Islamabad,16-Nov-20
17,21°,8°,November,2020,Islamabad,17-Nov-20
18,23°,8°,November,2020,Islamabad,18-Nov-20
19,19°,10°,November,2020,Islamabad,19-Nov-20
20,20°,8°,November,2020,Islamabad,20-Nov-20
21,20°,6°,November,2020,Islamabad,21-Nov-20
22,17°,6°,November,2020,Islamabad,22-Nov-20
23,16°,7°,November,2020,Islamabad,23-Nov-20
24,17°,10°,November,2020,Islamabad,24-Nov-20
25,14°,11°,November,2020,Islamabad,25-Nov-20
26,18°,8°,November,2020,Islamabad,26-Nov-20
27,21°,7°,November,2020,Islamabad,27-Nov-20
28,23°,8°,November,2020,Islamabad,28-Nov-20
29,22°,7°,November,2020,Islamabad,29-Nov-20
30,23°,8°,November,2020,Islamabad,30-Nov-20
1,25°,9°,December,2020,Islamabad,01-Dec-20
2,25°,9°,December,2020,Islamabad,02-Dec-20
3,24°,8°,December,2020,Islamabad,03-Dec-20
4,22°,10°,December,2020,Islamabad,04-Dec-20
5,23°,9°,December,2020,Islamabad,05-Dec-20
6,23°,10°,December,2020,Islamabad,06-Dec-20
7,18°,12°,December,2020,Islamabad,07-Dec-20
8,15°,13°,December,2020,Islamabad,08-Dec-20
9,20°,10°,December,2020,Islamabad,09-Dec-20
10,21°,6°,December,2020,Islamabad,10-Dec-20
11,15°,11°,December,2020,Islamabad,11-Dec-20
12,14°,8°,December,2020,Islamabad,12-Dec-20
13,16°,3°,December,2020,Islamabad,13-Dec-20
14,17°,6°,December,2020,Islamabad,14-Dec-20
15,15°,7°,December,2020,Islamabad,15-Dec-20
16,15°,4°,December,2020,Islamabad,16-Dec-20
17,17°,3°,December,2020,Islamabad,17-Dec-20
18,17°,2°,December,2020,Islamabad,18-Dec-20
19,19°,3°,December,2020,Islamabad,19-Dec-20
20,20°,5°,December,2020,Islamabad,20-Dec-20
21,21°,5°,December,2020,Islamabad,21-Dec-20
22,21°,6°,December,2020,Islamabad,22-Dec-20
23,19°,5°,December,2020,Islamabad,23-Dec-20
24,19°,5°,December,2020,Islamabad,24-Dec-20
25,18°,4°,December,2020,Islamabad,25-Dec-20
26,20°,6°,December,2020,Islamabad,26-Dec-20
27,11°,5°,December,2020,Islamabad,27-Dec-20
28,14°,6°,December,2020,Islamabad,28-Dec-20
29,13°,5°,December,2020,Islamabad,29-Dec-20
30,18°,3°,December,2020,Islamabad,30-Dec-20
31,19°,4°,December,2020,Islamabad,31-Dec-20
1,20°,1°,January,2021,Islamabad,01-Jan-21
2,20°,4°,January,2021,Islamabad,02-Jan-21
3,18°,6°,January,2021,Islamabad,03-Jan-21
4,14°,8°,January,2021,Islamabad,04-Jan-21
5,13°,7°,January,2021,Islamabad,05-Jan-21
6,17°,6°,January,2021,Islamabad,06-Jan-21
7,18°,7°,January,2021,Islamabad,07-Jan-21
8,16°,6°,January,2021,Islamabad,08-Jan-21
9,17°,5°,January,2021,Islamabad,09-Jan-21
10,21°,5°,January,2021,Islamabad,10-Jan-21
11,19°,5°,January,2021,Islamabad,11-Jan-21
12,20°,3°,January,2021,Islamabad,12-Jan-21
13,17°,2°,January,2021,Islamabad,13-Jan-21
14,15°,2°,January,2021,Islamabad,14-Jan-21
15,18°,4°,January,2021,Islamabad,15-Jan-21
16,19°,5°,January,2021,Islamabad,16-Jan-21
17,12°,4°,January,2021,Islamabad,17-Jan-21
18,19°,3°,January,2021,Islamabad,18-Jan-21
19,21°,4°,January,2021,Islamabad,19-Jan-21
20,22°,6°,January,2021,Islamabad,20-Jan-21
21,23°,6°,January,2021,Islamabad,21-Jan-21
22,20°,6°,January,2021,Islamabad,22-Jan-21
23,13°,7°,January,2021,Islamabad,23-Jan-21
24,17°,3°,January,2021,Islamabad,24-Jan-21
25,20°,6°,January,2021,Islamabad,25-Jan-21
26,20°,5°,January,2021,Islamabad,26-Jan-21
27,20°,6°,January,2021,Islamabad,27-Jan-21
28,21°,8°,January,2021,Islamabad,28-Jan-21
29,20°,4°,January,2021,Islamabad,29-Jan-21
30,21°,4°,January,2021,Islamabad,30-Jan-21
31,20°,5°,January,2021,Islamabad,31-Jan-21
1,21°,6°,February,2021,Islamabad,01-Feb-21
2,20°,6°,February,2021,Islamabad,02-Feb-21
3,17°,8°,February,2021,Islamabad,03-Feb-21
4,18°,8°,February,2021,Islamabad,04-Feb-21
5,17°,6°,February,2021,Islamabad,05-Feb-21
6,20°,6°,February,2021,Islamabad,06-Feb-21
7,22°,7°,February,2021,Islamabad,07-Feb-21
8,24°,7°,February,2021,Islamabad,08-Feb-21
9,25°,8°,February,2021,Islamabad,09-Feb-21
10,25°,9°,February,2021,Islamabad,10-Feb-21
11,25°,8°,February,2021,Islamabad,11-Feb-21
12,25°,8°,February,2021,Islamabad,12-Feb-21
13,23°,13°,February,2021,Islamabad,13-Feb-21
14,23°,9°,February,2021,Islamabad,14-Feb-21
15,24°,10°,February,2021,Islamabad,15-Feb-21
16,26°,10°,February,2021,Islamabad,16-Feb-21
17,25°,11°,February,2021,Islamabad,17-Feb-21
18,25°,10°,February,2021,Islamabad,18-Feb-21
19,25°,11°,February,2021,Islamabad,19-Feb-21
20,23°,12°,February,2021,Islamabad,20-Feb-21
21,27°,10°,February,2021,Islamabad,21-Feb-21
22,25°,11°,February,2021,Islamabad,22-Feb-21
23,25°,14°,February,2021,Islamabad,23-Feb-21
24,27°,12°,February,2021,Islamabad,24-Feb-21
25,29°,16°,February,2021,Islamabad,25-Feb-21
26,26°,16°,February,2021,Islamabad,26-Feb-21
27,23°,15°,February,2021,Islamabad,27-Feb-21
28,25°,10°,February,2021,Islamabad,28-Feb-21
1,25°,10°,March,2021,Islamabad,01-Mar-21
2,27°,10°,March,2021,Islamabad,02-Mar-21
3,27°,10°,March,2021,Islamabad,03-Mar-21
4,28°,12°,March,2021,Islamabad,04-Mar-21
5,27°,13°,March,2021,Islamabad,05-Mar-21
6,22°,12°,March,2021,Islamabad,06-Mar-21
7,27°,14°,March,2021,Islamabad,07-Mar-21
8,23°,15°,March,2021,Islamabad,08-Mar-21
9,27°,12°,March,2021,Islamabad,09-Mar-21
10,27°,13°,March,2021,Islamabad,10-Mar-21
11,21°,15°,March,2021,Islamabad,11-Mar-21
12,21°,13°,March,2021,Islamabad,12-Mar-21
13,26°,14°,March,2021,Islamabad,13-Mar-21
