date,high,low,Month,Year,City,
26,30°,17°,October,2020,Lahore,26-Oct-20
27,32°,15°,October,2020,Lahore,27-Oct-20
28,31°,15°,October,2020,Lahore,28-Oct-20
29,28°,16°,October,2020,Lahore,29-Oct-20
30,28°,16°,October,2020,Lahore,30-Oct-20
31,29°,14°,October,2020,Lahore,31-Oct-20
1,29°,12°,November,2020,Lahore,01-Nov-20
2,29°,13°,November,2020,Lahore,02-Nov-20
3,28°,13°,November,2020,Lahore,03-Nov-20
4,29°,15°,November,2020,Lahore,04-Nov-20
5,29°,14°,November,2020,Lahore,05-Nov-20
6,29°,12°,November,2020,Lahore,06-Nov-20
7,29°,13°,November,2020,Lahore,07-Nov-20
8,29°,13°,November,2020,Lahore,08-Nov-20
9,30°,13°,November,2020,Lahore,09-Nov-20
10,28°,13°,November,2020,Lahore,10-Nov-20
11,28°,11°,November,2020,Lahore,11-Nov-20
12,25°,13°,November,2020,Lahore,12-Nov-20
13,25°,12°,November,2020,Lahore,13-Nov-20
14,22°,13°,November,2020,Lahore,14-Nov-20
15,18°,12°,November,2020,Lahore,15-Nov-20
16,19°,12°,November,2020,Lahore,16-Nov-20
17,22°,12°,November,2020,Lahore,17-Nov-20
18,23°,10°,November,2020,Lahore,18-Nov-20
19,23°,9°,November,2020,Lahore,19-Nov-20
20,22°,9°,November,2020,Lahore,20-Nov-20
21,22°,9°,November,2020,Lahore,21-Nov-20
22,21°,8°,November,2020,Lahore,22-Nov-20
23,19°,12°,November,2020,Lahore,23-Nov-20
24,20°,12°,November,2020,Lahore,24-Nov-20
25,17°,12°,November,2020,Lahore,25-Nov-20
26,21°,11°,November,2020,Lahore,26-Nov-20
27,23°,11°,November,2020,Lahore,27-Nov-20
28,23°,10°,November,2020,Lahore,28-Nov-20
29,23°,10°,November,2020,Lahore,29-Nov-20
30,25°,9°,November,2020,Lahore,30-Nov-20
1,26°,9°,December,2020,Lahore,01-Dec-20
2,25°,11°,December,2020,Lahore,02-Dec-20
3,26°,10°,December,2020,Lahore,03-Dec-20
4,22°,11°,December,2020,Lahore,04-Dec-20
